"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.347174417E0,-2.345535469E1,-3.753089142E1,-5.909692383E1,7.383202476E1
2.357195417E0,-2.361610985E1,-3.763241959E1,-5.874328613E1,7.365251736E1
2.367215417E0,-2.348584175E1,-3.760742569E1,-5.921667480E1,7.397646791E1
2.377236417E0,-2.358415794E1,-3.765888596E1,-5.877917480E1,7.368443247E1
2.387257417E0,-2.347227287E1,-3.759392166E1,-5.910034180E1,7.387219328E1
2.397277417E0,-2.348224831E1,-3.770460129E1,-5.887829590E1,7.375436714E1
2.407298417E0,-2.353866386E1,-3.764215851E1,-5.863616943E1,7.354727160E1
2.417319417E0,-2.352780342E1,-3.751982117E1,-5.901751709E1,7.378591897E1
2.427339417E0,-2.350316429E1,-3.766889191E1,-5.875030518E1,7.364063082E1
2.437360417E0,-2.365603256E1,-3.760134125E1,-5.888397217E1,7.376171716E1
2.447381417E0,-2.355587006E1,-3.762653351E1,-5.887390137E1,7.373446481E1
2.457401417E0,-2.341012573E1,-3.759798431E1,-5.904199219E1,7.380785360E1
2.467422417E0,-2.345725060E1,-3.767357254E1,-5.862017822E1,7.352459431E1
2.477443417E0,-2.338055038E1,-3.761482239E1,-5.912719727E1,7.387523574E1
2.487463417E0,-2.341187096E1,-3.770058060E1,-5.871337891E1,7.359830393E1
2.497484417E0,-2.337743759E1,-3.769324493E1,-5.880895996E1,7.365988782E1
2.507505417E0,-2.347640419E1,-3.768581772E1,-5.931439209E1,7.409156173E1
2.517525417E0,-2.352433014E1,-3.774701691E1,-5.885882568E1,7.377393005E1
2.527546417E0,-2.347925186E1,-3.782564163E1,-5.924255371E1,7.410623862E1
2.537567417E0,-2.343184090E1,-3.769536972E1,-5.859979248E1,7.351141234E1
2.547587417E0,-2.352334785E1,-3.756157684E1,-5.880419922E1,7.363527548E1
2.557608417E0,-2.349069595E1,-3.754049683E1,-5.900341797E1,7.377333550E1
2.567629417E0,-2.346788979E1,-3.774736786E1,-5.883673096E1,7.373850108E1
2.577649417E0,-2.348350334E1,-3.762066269E1,-5.883697510E1,7.367888998E1
2.587670417E0,-2.341771507E1,-3.760758972E1,-5.848651123E1,7.337160336E1
2.597691417E0,-2.349349976E1,-3.763184738E1,-5.906695557E1,7.387154870E1
2.607711417E0,-2.338636017E1,-3.769444275E1,-5.924633789E1,7.401298136E1
2.617732417E0,-2.332965660E1,-3.759116745E1,-5.852856445E1,7.336866909E1
2.627753417E0,-2.339737511E1,-3.750735855E1,-5.896887207E1,7.369916540E1
2.637773417E0,-2.333872032E1,-3.767154694E1,-5.850775146E1,7.339617358E1
2.647794417E0,-2.331162262E1,-3.766262436E1,-5.903155518E1,7.380128406E1
2.657815417E0,-2.329202271E1,-3.757003021E1,-5.892205811E1,7.366026353E1
2.667835417E0,-2.340688133E1,-3.766633987E1,-5.858898926E1,7.347996268E1
2.677856417E0,-2.338261032E1,-3.766200638E1,-5.899597168E1,7.379497181E1
2.687877417E0,-2.331941986E1,-3.766872025E1,-5.867364502E1,7.352091163E1
2.697897417E0,-2.335842896E1,-3.756129456E1,-5.906756592E1,7.379325440E1
2.707918417E0,-2.345964241E1,-3.757964706E1,-5.872186279E1,7.355842484E1
2.717939417E0,-2.333100700E1,-3.758908463E1,-5.853594971E1,7.337392302E1
2.727959417E0,-2.314079666E1,-3.762392807E1,-5.873785400E1,7.349280187E1
2.737980417E0,-2.321938896E1,-3.762133408E1,-5.852197266E1,7.334388921E1
2.748001417E0,-2.319881439E1,-3.757895279E1,-5.887524414E1,7.359794192E1
2.758021417E0,-2.317599487E1,-3.763436127E1,-5.864831543E1,7.343770686E1
2.768042417E0,-2.320309830E1,-3.762922668E1,-5.831140137E1,7.317487274E1
2.778063417E0,-2.321654510E1,-3.762455750E1,-5.876116943E1,7.353563984E1
2.788083417E0,-2.309180260E1,-3.771284866E1,-5.834606934E1,7.321034154E1
2.798104417E0,-2.323248291E1,-3.772084808E1,-5.871728516E1,7.355494693E1
2.808125417E0,-2.330373383E1,-3.762672043E1,-5.859820557E1,7.343421407E1
2.818145417E0,-2.337390900E1,-3.765218735E1,-5.841632080E1,7.332457548E1
2.828166417E0,-2.331734848E1,-3.761243439E1,-5.879748535E1,7.359034070E1
2.838187417E0,-2.330447197E1,-3.766297913E1,-5.838983154E1,7.328690769E1
2.848207417E0,-2.336250496E1,-3.761171722E1,-5.901593018E1,7.377891247E1
2.858228417E0,-2.332382965E1,-3.763831329E1,-5.877246094E1,7.358563597E1
2.868249417E0,-2.350301170E1,-3.767488480E1,-5.882592773E1,7.370399092E1
2.878269417E0,-2.336763954E1,-3.771171188E1,-5.885516357E1,7.370312117E1
2.888290417E0,-2.354440689E1,-3.765889359E1,-5.819049072E1,7.320290003E1
2.898311417E0,-2.348977089E1,-3.753253555E1,-5.887554932E1,7.366675552E1
2.908331417E0,-2.344565392E1,-3.762244797E1,-5.852325439E1,7.341742697E1
2.918352417E0,-2.338261223E1,-3.766226196E1,-5.882739258E1,7.366040082E1
2.928373417E0,-2.343981361E1,-3.760976410E1,-5.896160889E1,7.375900311E1
2.938393417E0,-2.341674232E1,-3.766333389E1,-5.877856445E1,7.363280641E1
2.948414417E0,-2.353037262E1,-3.758593750E1,-5.896148682E1,7.377559258E1
2.958435417E0,-2.331200409E1,-3.770618820E1,-5.841326904E1,7.333018590E1
2.968456417E0,-2.324131966E1,-3.769780731E1,-5.893621826E1,7.372083449E1
