"Time t (s)","Angular Velocity x (rad/s)","Angular Velocity y (rad/s)","Angular Velocity z (rad/s)","Absolute Angular Velocity (rad/s)"
4.802999973E0,6.391580697E-3,1.065263471E-3,1.065263471E-3,6.566725003E-3
4.813000202E0,5.326317681E-3,1.065263471E-3,1.065263471E-3,5.535271621E-3
4.822000027E0,5.326317681E-3,1.065263471E-3,1.065263471E-3,5.535271621E-3
4.831999779E0,6.391580697E-3,1.065263471E-3,1.065263471E-3,6.566725003E-3
4.842000008E0,5.326317681E-3,1.065263471E-3,1.065263471E-3,5.535271621E-3
4.852000237E0,4.261053885E-3,1.065263471E-3,0.000000000E0,4.392193912E-3
4.861999989E0,4.261053885E-3,1.065263471E-3,0.000000000E0,4.392193912E-3
4.872000217E0,5.326317681E-3,1.065263471E-3,-1.065263471E-3,5.535271621E-3
4.881999969E0,5.326317681E-3,2.130526942E-3,-1.065263471E-3,5.834688696E-3
4.910999775E0,6.391580697E-3,1.065263471E-3,0.000000000E0,6.479744779E-3
4.921000004E0,6.391580697E-3,1.065263471E-3,0.000000000E0,6.479744779E-3
4.931000233E0,7.456844234E-3,2.130526942E-3,0.000000000E0,7.755235057E-3
4.940999985E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
4.951000214E0,4.261053885E-3,2.130526942E-3,1.065263471E-3,4.881650258E-3
4.960000038E0,4.261053885E-3,2.130526942E-3,0.000000000E0,4.764003135E-3
4.969999790E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
4.980999947E0,5.326317681E-3,2.130526942E-3,1.065263471E-3,5.834688696E-3
4.989999771E0,5.326317681E-3,2.130526942E-3,1.065263471E-3,5.834688696E-3
5.000000000E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
5.011000156E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
5.019999981E0,5.326317681E-3,2.130526942E-3,-1.065263471E-3,5.834688696E-3
5.030000210E0,6.391580697E-3,2.130526942E-3,-1.065263471E-3,6.821014020E-3
5.039999962E0,6.391580697E-3,2.130526942E-3,0.000000000E0,6.737317492E-3
5.048999786E0,6.391580697E-3,1.065263471E-3,0.000000000E0,6.479744779E-3
5.059000015E0,5.326317681E-3,1.065263471E-3,0.000000000E0,5.431799577E-3
5.078999996E0,3.195790349E-3,1.065263471E-3,-1.065263471E-3,3.533079156E-3
5.089000225E0,4.261053885E-3,1.065263471E-3,0.000000000E0,4.392193912E-3
5.118000031E0,5.326317681E-3,2.130526942E-3,1.065263471E-3,5.834688696E-3
5.129000187E0,6.391580697E-3,1.065263471E-3,0.000000000E0,6.479744779E-3
